Date,Miles,MilesDiff,Price,Gallons,Total,MPG
2-Jun,29,,,,,
14-Jun,305,276,3.979,11.814,47.01,23.362
14-Jun,516,211,3.859,7.776,30.01,27.135
17-Jun,781,265,3.809,10.421,39.69,25.429
23-Jun,1057,276,3.859,11.298,43.6,24.429
25-Jun,1209,152,3.809,5.751,21.91,26.43
30-Jun,1467,258,3.959,7.706,30.51,33.48
2-Jul,1588,121,3.899,6.805,26.53,17.781
6-Jul,1863,275,3.959,9.501,37.61,28.944
11-Jul,2169,306,3.889,11.506,44.75,26.595
17-Jul,2391,222,3.899,9.502,37.05,23.364
22-Sep,2701,310,3.699,11.91,44.06,26.029
26-Sep,2883,182,3.659,6.081,22.25,29.929
6-Oct,3167,284,3.299,10.263,33.86,27.672
17-Oct,3344,177,2.769,7.952,22.02,22.259
19-Oct,3626,282,2.799,9.641,26.99,29.25
24-Oct,3958,332,2.399,12,28.79,27.667
25-Oct,4326,368,2.499,11.499,28.74,32.003
26-Oct,4654,328,2.239,11.503,25.76,28.514
6-Nov,4831,177,1.979,7.73,15.3,22.898
19-Nov,4981,150,1.829,7.289,13.33,20.579
25-Nov,5108,127,1.629,6.3,10.26,20.159
28-Nov,5338,230,1.699,8,13.59,28.75
1-Dec,5559,221,1.609,7.999,12.87,27.628
10-Dec,5796,237,1.469,10.723,15.75,22.102
13-Dec,6137,341,1.599,11.723,18.75,29.088
16-Dec,6427,290,1.499,11.34,17,25.573
19-Dec,6487,60,1.469,2.723,4,22.035
19-Dec,6789,302,1.579,9.442,14.91,31.985
28-Dec,7093,304,1.559,12.345,19.25,24.625
28-Dec,7323,230,1.499,8.002,11.99,28.743
8-Jan,7579,256,1.589,10.291,16.35,24.876
11-Jan,7874,295,1.679,10.72,18,27.519
13-Jan,8221,347,1.659,11.752,19.5,29.527
21-Jan,8518,297,1.559,12.001,18.71,24.748
5-Feb,8833,315,1.719,12.652,21.75,24.897
13-Feb,9162,329,1.809,12.585,22.77,26.142
19-Feb,9371,209,1.769,7.946,14.06,26.303
20-Feb,9742,371,1.749,12.698,22.21,29.217
7-Mar,9991,249,1.749,10.002,17.49,24.895
25-Mar,10262,271,1.859,11.205,20.83,24.186
3-Apr,10590,328,1.919,12.294,23.59,26.68
5-Apr,10969,379,2.019,12.412,25.06,30.535
14-May,11311,342,2.089,12.888,26.92,26.536
24-May,11567,256,2.209,10.002,22.09,25.595
5-Jun,11820,253,2.399,10.423,25,24.273
12-Jun,12047,227,2.379,8.954,21.3,25.352
17-Jun,12308,261,2.449,10.341,25.33,25.239
23-Jun,12584,276,2.389,9.803,23.42,28.155
29-Jun,12878,294,2.349,10.592,24.88,27.757
5-Jul,13208,330,2.329,12.474,29.05,26.455
6-Jul,13426,218,2.459,6.533,16.06,33.369
6-Jul,13705,279,2.659,8.222,21.86,33.933
8-Jul,13889,184,2.719,6.106,16.6,30.134
10-Jul,14189,300,2.599,10.704,27.82,28.027
11-Jul,14470,281,2.439,8.811,21.49,31.892
16-Jul,14766,296,2.199,10.797,23.74,27.415
31-Jul,15089,323,2.269,12.83,29.11,25.175
1-Aug,15422,333,2.429,10.522,25.56,31.648
7-Aug,15737,315,2.599,10.195,26.5,30.897
15-Aug,15957,220,2.599,8.411,21.86,26.156
21-Aug,16186,229,2.899,7.474,21.67,30.64
22-Aug,16470,284,2.539,10.922,27.73,26.003
5-Oct,16748,278,2.179,10.502,22.88,26.471
17-Nov,16982,234,2.379,10.415,24.78,22.468
28-Nov,17202,220,2.519,8.007,20.17,27.476
19-Dec,17479,277,2.499,12.496,31.23,22.167
21-Dec,17770,291,2.899,8.65,25.08,33.642
29-Dec,17975,205,2.609,11,28.7,18.636
1-Jan,18294,319,2.449,10.572,25.89,30.174
13-Jan,18442,148,2.649,7.928,21,18.668
17-Jan,18724,282,2.639,10.214,26.95,27.609
12-Feb,19067,343,2.839,11.959,33.95,28.681
31-May,19232,165,2.809,6.397,17.97,25.793
6-Jun,19494,262,2.679,8.772,23.5,29.868
7-Jun,19748,254,2.449,9.396,23.01,27.033
14-Jun,20012,264,2.449,11.435,28,23.087
1-Jul,20224,212,2.579,9.052,23.35,23.42
1-Jul,20537,313,2.759,8.844,24.4,35.391
1-Jul,20698,161,2.749,6.66,18.31,24.174
11-Jul,20957,259,2.759,9.603,26.49,26.971
20-Jul,21229,272,2.589,10.042,26,27.086
21-Jul,21478,249,2.499,8.998,22.49,27.673
21-Jul,21830,352,2.799,7.145,20,49.265
21-Jul,21878,48,2.599,5.616,14.6,8.547
28-Jul,22144,266,2.469,10.532,26,25.256
6-Aug,22399,255,2.529,10.856,27.45,23.489
16-Aug,22668,269,2.489,10.858,27.03,24.774
24-Aug,22954,286,2.389,11.417,27.28,25.05
3-Sep,23269,315,2.389,12.643,30.2,24.915
3-Sep,23526,257,2.529,8.24,20.84,31.189
5-Sep,23866,340,2.699,11.939,32.22,28.478
9-Sep,24176,310,2.389,10.415,24.88,29.765
17-Sep,24401,225,2.489,9.064,22.56,24.823
28-Sep,24701,300,2.439,11.94,29.12,25.126
8-Oct,24914,213,2.549,7.848,20,27.141
14-Oct,25217,303,2.609,12.171,31.75,24.895
21-Oct,25496,279,2.619,10.03,26.27,27.817
30-Oct,25824,328,2.699,11.631,31.39,28.2
4-Nov,26103,279,2.469,10.046,24.8,27.772
12-Nov,26453,350,2.699,12.375,33.4,28.283
21-Nov,26772,319,2.659,11.375,30.25,28.044
24-Nov,27060,288,2.839,9.6,27.25,30
27-Nov,27358,298,2.699,9.818,26.5,30.352
27-Nov,27639,281,2.599,9.409,24.45,29.865
2-Dec,27978,339,2.659,11.3,30.05,30
10-Dec,28299,321,2.769,11.413,31.6,28.126
17-Dec,28614,315,2.859,10.81,30.91,29.14
17-Dec,28892,278,2.999,9.674,29.01,28.737
19-Dec,29201,309,2.859,10.193,29.14,30.315
30-Dec,29541,340,2.799,11.708,32.77,29.04
8-Jan,29825,284,2.899,10.109,29.31,28.094
15-Jan,30084,259,2.899,9.658,28,26.817
16-Jan,30423,339,3.159,11.556,36.51,29.335
20-Jan,30717,294,2.899,10.006,29.01,29.382
28-Jan,31006,289,2.899,10.863,31.49,26.604
3-Feb,31256,250,2.919,9.056,26.43,27.606
12-Feb,31538,282,2.919,10.501,30.65,26.855
21-Feb,31840,302,2.939,10.862,31.92,27.803
1-Mar,32130,290,3.199,10.786,34.5,26.887
3-Mar,32358,228,3.499,8.007,28.02,28.475
4-Mar,32610,252,3.339,8.991,30.02,28.028
5-Mar,33009,399,3.259,11.621,37.87,34.334
6-Mar,33273,264,3.679,8.427,31,31.328
26-Mar,33517,244,3.659,9.198,33.66,26.528
16-Apr,33823,306,3.329,11.994,39.93,25.513
30-Apr,34158,335,4.099,11.771,48.25,28.46
13-May,34353,195,4.119,6.933,28.56,28.126
19-May,34702,349,3.959,11.392,45.1,30.636
1-Jun,34900,198,3.799,7.897,30,25.073
10-Jun,35112,212,3.719,8.222,30.58,25.784
12-Jun,35516,404,3.179,12.582,40,32.109
19-Jun,35807,291,3.859,8.966,34.6,32.456
5-Jul,36145,338,3.569,13.057,46.6,25.886
18-Jul,36531,386,3.799,12.81,48.67,30.133
20-Aug,36841,310,2.799,12.865,36.01,24.096
30-Aug,37207,366,3.639,12.809,46.61,28.574
15-Sep,37534,327,3.689,11.746,43.33,27.839
26-Sep,37832,298,3.279,11.743,38.51,25.377
29-Sep,38189,357,3.859,11.347,43.79,31.462
3-Oct,38474,285,3.419,9.506,32.5,29.981
3-Oct,38714,240,3.239,8.5,27.53,28.235
14-Oct,38799,85,3.149,4.513,14.21,18.834
15-Oct,39108,309,3.329,8.682,28.9,35.591
18-Oct,39319,211,3.329,7.606,25.32,27.741
24-Oct,39659,340,3.099,11.297,35.01,30.096
10-Nov,39942,283,3.169,11.832,37.5,23.918
12-Nov,40284,342,3.399,10.29,34.98,33.236
23-Nov,40583,299,3.019,10.736,32.41,27.85
23-Nov,40917,334,3.289,10.297,33.87,32.437
26-Nov,41216,299,3.599,10.461,37.65,28.582
26-Nov,41522,306,3.199,9.744,31.17,31.404
16-Dec,41860,338,3.039,12.123,36.84,27.881
21-Dec,42169,309,3.179,9.96,31.66,31.024
21-Dec,42315,146,3.159,4.994,15.78,29.235
27-Dec,42545,230,3.119,7.341,22.9,31.331
29-Dec,42826,281,3.069,9.146,28.07,30.724
15-Feb,43068,242,3.399,9.892,33.62,24.464
24-Feb,43184,116,3.479,4.681,16.29,24.781
25-Feb,43508,324,3.699,10.704,39.59,30.269
25-Feb,43822,314,3.659,11.466,41.95,27.385
1-Mar,44166,344,3.689,11.184,41.26,30.758
1-Mar,44556,390,3.799,12.002,45.6,32.495
4-Mar,44819,263,3.609,8.036,29,32.728
6-Mar,45080,261,3.449,8.86,30.56,29.458
7-Mar,45390,310,3.609,9.323,33.65,33.251
1-Nov,45676,286,3.609,10.453,37.72,27.361
2-Nov,46014,338,3.399,10.719,36.43,31.533
17-Nov,46312,298,3.089,11.015,34.03,27.054
6-Dec,46518,206,3.099,9.464,29.33,21.767
13-Dec,46722,204,3.019,7.696,23.23,26.507
15-Dec,47100,378,3.369,11.017,37.12,34.311
18-Dec,47325,225,3.559,7.479,26.62,30.084
25-Dec,47381,56,3.459,2.561,8.86,21.866
27-Dec,47712,331,3.319,11.175,37.09,29.62
30-Dec,47922,210,3.179,6.564,20.87,31.993
31-Dec,48192,270,3.179,9.543,30.34,28.293
17-Jan,48484,292,3.169,10.761,34.1,27.135
11-Feb,48793,309,3.379,11.839,40,26.1
4-Mar,48965,172,3.479,10.427,36.28,16.496
8-Mar,49317,352,3.679,11.089,40.8,31.743
27-Mar,49597,280,3.459,11.565,40,24.211
31-Mar,49960,363,3.419,11.466,39.2,31.659
8-Apr,50249,289,3.389,10.89,36.91,26.538
19-Apr,50428,179,3.259,7.385,24.07,24.238
24-Apr,50732,304,3.219,10.462,33.68,29.058
4-May,50955,223,3.259,8.281,26.99,26.929
17-May,51235,280,3.399,11.046,37.55,25.349
31-May,51496,261,3.219,10.719,34.5,24.349
7-Jun,51737,241,3.219,8.891,28.62,27.106
19-Jun,51973,236,3.439,10.004,34.4,23.591
23-Jun,52314,341,3.469,11.298,39.19,30.182
27-Jun,52643,329,3.399,10.63,36.13,30.95
7-Jul,52918,275,3.299,10.999,36.29,25.002
12-Jul,53256,338,3.539,11.776,41.68,28.702
12-Jul,53586,330,3.739,11.061,41.36,29.835
18-Jul,53923,337,3.389,12.365,41.9,27.254
18-Jul,54193,270,3.519,10.228,35.99,26.398
21-Jul,54480,287,3.659,10.678,39.07,26.878
25-Jul,54807,327,3.499,11.717,41,27.908
5-Aug,55126,319,3.329,12.059,40.14,26.453
15-Aug,55415,289,3.359,10.913,36.66,26.482
7-Sep,55717,302,3.349,11.254,37.69,26.835
13-Sep,55999,282,3.279,10.684,35.03,26.395
15-Sep,56150,151,3.259,4.919,16.03,30.697
20-Sep,56505,355,3.169,11.892,37.69,29.852
29-Sep,56832,327,3.109,11.685,36.33,27.985
4-Oct,57162,330,3.139,10.856,34.08,30.398
6-Oct,57346,184,3.039,6.09,18.51,30.213
11-Oct,57651,305,3.099,11.154,34.57,27.344
13-Oct,57964,313,3.039,10.079,30.63,31.055
18-Oct,58244,280,3.099,9.778,30.3,28.636
26-Oct,58530,286,3.119,10.87,33.9,26.311
3-Nov,58751,221,3.039,7.683,23.35,28.765
6-Nov,58929,178,2.949,6.147,18.13,28.957
19-Nov,59283,354,3.079,12.753,39.27,27.758
27-Nov,59525,242,3.239,8.454,27.38,28.626
16-Dec,59776,251,3.059,9.807,30,25.594
